date,sunspot,type
20240202_084038,8,A
20240202_161038,6,A
20240202_234038,4,A
20240203_081038,6,A
20240203_154038,9,A
20240203_230438,3,A
20240204_064208,7,A
20240204_152238,4,A
20240204_225238,5,A
20240205_062238,3,A
20240205_145238,2,A
20240205_222238,4,A
20240206_055238,4,A
20240206_141038,4,A
20240206_214038,2,A
20240207_050438,5,A
20240207_132238,7,A
20240207_205238,7,A
20240208_042238,2,A
20240208_124038,3,A
20240208_200438,2,A
20240209_034038,4,A
20240209_114038,2,A
20240209_191038,2,A
20240210_024038,1,A
20240210_101038,7,A
20240210_174038,8,A
20240211_011038,9,A
20240211_084038,2,A
20240211_161038,0,A

